#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 01 00 26 999 99.0 99.0  0.63 12.50  7.63  94 9999.0 999.0  11.5 999.0 99.0 99.00
2022 01 01 00 56 999 99.0 99.0  0.54 12.50  6.08  86 9999.0 999.0  11.5 999.0 99.0 99.00
2022 01 01 01 26 999 99.0 99.0  0.62 13.33  6.84 100 9999.0 999.0  11.5 999.0 99.0 99.00
2022 01 01 01 56 999 99.0 99.0  0.59 12.50  5.99  93 9999.0 999.0  11.6 999.0 99.0 99.00
2022 01 01 02 26 999 99.0 99.0  0.66 13.33  5.69  85 9999.0 999.0  11.6 999.0 99.0 99.00
2022 01 01 02 56 999 99.0 99.0  0.65 13.33  6.41  78 9999.0 999.0  11.6 999.0 99.0 99.00
2022 01 01 03 26 999 99.0 99.0  0.61 12.50  6.18  80 9999.0 999.0  11.4 999.0 99.0 99.00
2022 01 01 03 56 999 99.0 99.0  0.62 12.50  6.26  85 9999.0 999.0  11.4 999.0 99.0 99.00
2022 01 01 04 26 999 99.0 99.0  0.62 12.50  6.52  93 9999.0 999.0  11.4 999.0 99.0 99.00
2022 01 01 04 56 999 99.0 99.0  0.64 13.33  6.67  85 9999.0 999.0  11.4 999.0 99.0 99.00
2022 01 01 05 26 999 99.0 99.0  0.63 12.50  6.64  89 9999.0 999.0  11.4 999.0 99.0 99.00
2022 01 01 05 56 999 99.0 99.0  0.60 12.50  6.20  85 9999.0 999.0  11.4 999.0 99.0 99.00
2022 01 01 06 26 999 99.0 99.0  0.65 11.76  6.13  79 9999.0 999.0  11.4 999.0 99.0 99.00
2022 01 01 06 56 999 99.0 99.0  0.67 11.76  5.74  89 9999.0 999.0  11.5 999.0 99.0 99.00
2022 01 01 07 26 999 99.0 99.0  0.67 12.50  5.87  87 9999.0 999.0  11.4 999.0 99.0 99.00
2022 01 01 07 56 999 99.0 99.0  0.67 11.76  6.31  83 9999.0 999.0  11.5 999.0 99.0 99.00
2022 01 01 08 26 999 99.0 99.0  0.65 12.50  6.03  79 9999.0 999.0  11.5 999.0 99.0 99.00
2022 01 01 08 56 999 99.0 99.0  0.69 11.76  6.38  85 9999.0 999.0  11.6 999.0 99.0 99.00
2022 01 01 09 26 999 99.0 99.0  0.70 12.50  6.49  78 9999.0 999.0  11.6 999.0 99.0 99.00
2022 01 01 09 56 999 99.0 99.0  0.71 11.11  6.33  85 9999.0 999.0  11.6 999.0 99.0 99.00
2022 01 01 10 26 999 99.0 99.0  0.72 11.76  6.57  83 9999.0 999.0  11.7 999.0 99.0 99.00
2022 01 01 10 56 999 99.0 99.0  0.68 11.76  6.67  86 9999.0 999.0  11.7 999.0 99.0 99.00
2022 01 01 11 26 999 99.0 99.0  0.73  8.33  6.82  85 9999.0 999.0  11.7 999.0 99.0 99.00
2022 01 01 11 56 999 99.0 99.0  0.69 12.50  6.59  89 9999.0 999.0  11.7 999.0 99.0 99.00
2022 01 01 12 26 999 99.0 99.0  0.69 12.50  6.79  87 9999.0 999.0  11.7 999.0 99.0 99.00
2022 01 01 12 56 999 99.0 99.0  0.68 12.50  7.19  89 9999.0 999.0  11.7 999.0 99.0 99.00
2022 01 01 13 26 999 99.0 99.0  0.65 13.33  6.95  83 9999.0 999.0  11.7 999.0 99.0 99.00
2022 01 01 13 56 999 99.0 99.0  0.65 12.50  7.03  76 9999.0 999.0  11.8 999.0 99.0 99.00
2022 01 01 14 26 999 99.0 99.0  0.63 12.50  6.43  82 9999.0 999.0  11.8 999.0 99.0 99.00
2022 01 01 14 56 999 99.0 99.0  0.62 12.50  5.93  80 9999.0 999.0  11.9 999.0 99.0 99.00
2022 01 01 15 26 999 99.0 99.0  0.66  8.33  5.95  85 9999.0 999.0  11.9 999.0 99.0 99.00
2022 01 01 15 56 999 99.0 99.0  0.68 11.76  5.90  78 9999.0 999.0  12.1 999.0 99.0 99.00
2022 01 01 16 26 999 99.0 99.0  0.65 12.50  5.71  73 9999.0 999.0  12.1 999.0 99.0 99.00
2022 01 01 16 56 999 99.0 99.0  0.66 11.76  5.43  85 9999.0 999.0  12.3 999.0 99.0 99.00
2022 01 01 17 26 999 99.0 99.0  0.68 12.50  5.71  82 9999.0 999.0  12.4 999.0 99.0 99.00
2022 01 01 17 56 999 99.0 99.0  0.65 12.50  5.29  79 9999.0 999.0  12.4 999.0 99.0 99.00
2022 01 01 18 26 999 99.0 99.0  0.68 12.50  5.09  73 9999.0 999.0  12.5 999.0 99.0 99.00
2022 01 01 18 56 999 99.0 99.0  0.66 13.33  5.32  72 9999.0 999.0  12.5 999.0 99.0 99.00
2022 01 01 19 26 999 99.0 99.0  0.69 12.50  4.85  75 9999.0 999.0  12.4 999.0 99.0 99.00
2022 01 01 19 56 999 99.0 99.0  0.71 12.50  4.84  75 9999.0 999.0  12.5 999.0 99.0 99.00
2022 01 01 20 26 999 99.0 99.0  0.74 11.76  5.34  73 9999.0 999.0  12.5 999.0 99.0 99.00
2022 01 01 20 56 999 99.0 99.0  0.74 12.50  5.01  79 9999.0 999.0  12.5 999.0 99.0 99.00
2022 01 01 21 26 999 99.0 99.0  0.72 12.50  5.02  78 9999.0 999.0  12.5 999.0 99.0 99.00
2022 01 01 21 56 999 99.0 99.0  0.73 12.50  4.66  76 9999.0 999.0  12.5 999.0 99.0 99.00
2022 01 01 22 26 999 99.0 99.0  0.78 12.50  4.76  73 9999.0 999.0  12.5 999.0 99.0 99.00
2022 01 01 22 56 999 99.0 99.0  0.72 13.33  5.03  80 9999.0 999.0  12.5 999.0 99.0 99.00
2022 01 01 23 26 999 99.0 99.0  0.73 13.33  5.41  75 9999.0 999.0  12.5 999.0 99.0 99.00
2022 01 01 23 56 999 99.0 99.0  0.68 12.50  5.07  78 9999.0 999.0  12.5 999.0 99.0 99.00
2022 01 02 00 26 999 99.0 99.0  0.69 13.33  4.84  66 9999.0 999.0  12.4 999.0 99.0 99.00
2022 01 02 00 56 999 99.0 99.0  0.77 14.29  4.70  71 9999.0 999.0  12.4 999.0 99.0 99.00
2022 01 02 01 26 999 99.0 99.0  0.75 15.38  4.52  66 9999.0 999.0  12.4 999.0 99.0 99.00
2022 01 02 01 56 999 99.0 99.0  0.75 13.33  4.56  68 9999.0 999.0  12.4 999.0 99.0 99.00
2022 01 02 02 26 999 99.0 99.0  0.73 12.50  4.35  83 9999.0 999.0  12.4 999.0 99.0 99.00
2022 01 02 02 56 999 99.0 99.0  0.80 13.33  4.24  76 9999.0 999.0  12.4 999.0 99.0 99.00
2022 01 02 03 26 999 99.0 99.0  0.80 15.38  4.38  69 9999.0 999.0  12.3 999.0 99.0 99.00
2022 01 02 03 56 999 99.0 99.0  0.80 14.29  4.45  78 9999.0 999.0  12.3 999.0 99.0 99.00
2022 01 02 04 26 999 99.0 99.0  0.76 15.38  4.23  76 9999.0 999.0  12.4 999.0 99.0 99.00
2022 01 02 04 56 999 99.0 99.0  0.81 14.29  4.50  85 9999.0 999.0  12.4 999.0 99.0 99.00
2022 01 02 05 26 999 99.0 99.0  0.84 15.38  4.51  78 9999.0 999.0  12.4 999.0 99.0 99.00
2022 01 02 05 56 999 99.0 99.0  0.78 15.38  4.25  73 9999.0 999.0  12.4 999.0 99.0 99.00
2022 01 02 06 26 999 99.0 99.0  0.82 13.33  4.24  71 9999.0 999.0  12.4 999.0 99.0 99.00
2022 01 02 06 56 999 99.0 99.0  0.80 15.38  4.11  71 9999.0 999.0  12.4 999.0 99.0 99.00
2022 01 02 07 26 999 99.0 99.0  0.78 13.33  4.23  73 9999.0 999.0  12.4 999.0 99.0 99.00
2022 01 02 07 56 999 99.0 99.0  0.80 14.29  4.30  64 9999.0 999.0  12.4 999.0 99.0 99.00
